"2019/07/05","CSV-5e0f73b15bcac","VD SHIPMONDOCOM","Udgifter:Direkte omkostninger u/moms","","38.25",""," Filename: vd_shipmondocom_20190705-5e0f73b15bcac.trans\n TransID: 1"
"2019/07/08","CSV-5e0f73b15a393","VD SHIPMONDOCOM","Egenkapital:Mellemregning","","-38.25",""," Filename: vd_shipmondocom_20190708-5e0f73b15a393.trans\n TransID: 0"
"2019/07/08","CSV-5e0f73b15a393","VD SHIPMONDOCOM","Udgifter:Direkte omkostninger u/moms","","38.25",""," Filename: vd_shipmondocom_20190708-5e0f73b15a393.trans\n TransID: 1"
"2019/07/10","CSV-5e0f73b1589ff","VD SHIPMONDOCOM","Egenkapital:Mellemregning","","-38.25",""," Filename: vd_shipmondocom_20190710-5e0f73b1589ff.trans\n TransID: 0"
"2019/07/10","CSV-5e0f73b1589ff","VD SHIPMONDOCOM","Udgifter:Direkte omkostninger u/moms","","38.25",""," Filename: vd_shipmondocom_20190710-5e0f73b1589ff.trans\n TransID: 1"
"2019/07/11","CSV-5e0f73b1555d9","CH2012369 2019-07-11","Egenkapital:Mellemregning","","4538.82",""," Filename: ch2012369_20190711_20190711-5e0f73b1555d9.trans\n TransID: 0"
"2019/07/11","CSV-5e0f73b1555d9","CH2012369 2019-07-11","Indtægter:Onlinesalg","","-3631.056",""," Filename: ch2012369_20190711_20190711-5e0f73b1555d9.trans\n TransID: 1"
"2019/07/11","CSV-5e0f73b1555d9","CH2012369 2019-07-11","Passiver:Moms:Salgsmoms","","-907.764",""," Filename: ch2012369_20190711_20190711-5e0f73b1555d9.trans\n TransID: virt"
"2019/07/11","CSV-5e0f73b157014","VD SHIPMONDOCOM","Egenkapital:Mellemregning","","-38.25",""," Filename: vd_shipmondocom_20190711-5e0f73b157014.trans\n TransID: 0"
"2019/07/11","CSV-5e0f73b157014","VD SHIPMONDOCOM","Udgifter:Direkte omkostninger u/moms","","38.25",""," Filename: vd_shipmondocom_20190711-5e0f73b157014.trans\n TransID: 1"
"2019/07/15","CSV-5e0f73b153bd4","VD SHOPIFY * 66045650","Egenkapital:Mellemregning","","-687.75",""," Filename: vd_shopify_66045650_20190715-5e0f73b153bd4.trans\n TransID: 0"
"2019/07/15","CSV-5e0f73b153bd4","VD SHOPIFY * 66045650","Udgifter:Administration:Edb","","550.2",""," Filename: vd_shopify_66045650_20190715-5e0f73b153bd4.trans\n TransID: 1"
"2019/07/15","CSV-5e0f73b153bd4","VD SHOPIFY * 66045650","Passiver:Moms:Købsmoms","","137.55",""," Filename: vd_shopify_66045650_20190715-5e0f73b153bd4.trans\n TransID: virt"
"2019/07/18","CSV-5e0f73b152092","CH2012369 2019-07-18","Egenkapital:Mellemregning","","9210.88",""," Filename: ch2012369_20190718_20190718-5e0f73b152092.trans\n TransID: 0"
"2019/07/18","CSV-5e0f73b152092","CH2012369 2019-07-18","Indtægter:Onlinesalg","","-7368.704",""," Filename: ch2012369_20190718_20190718-5e0f73b152092.trans\n TransID: 1"
"2019/07/18","CSV-5e0f73b152092","CH2012369 2019-07-18","Passiver:Moms:Salgsmoms","","-1842.176",""," Filename: ch2012369_20190718_20190718-5e0f73b152092.trans\n TransID: virt"
